vcp=aMSa, skd=aMSa
vcp=purva, skd=purvva *
vcp=pula, skd=pula
vcp=puza, skd=puza
vcp=puzpa, skd=puzpa
vcp=pusa, skd=?
vcp=pusta, skd=pusta
vcp=pU, skd=pU
vcp=pUja, skd=pUja
vcp=pURa, skd=pURa
vcp=pUya, skd=pUya
vcp=pUra, skd=pUra
vcp=pUrDi, skd=?
vcp=pUrva, skd=pUrvva *
vcp=pUla, skd=pUla
vcp=pUza, skd=pUza
vcp=pf, skd=pf
vcp=pfca, skd=pfca
vcp=pfja, skd=pfja
vcp=pfqa, skd=pfqa
vcp=pfRa, skd=pfRa
vcp=pfTa, skd=pfTa
vcp=pfza, skd=pfza
vcp=pF, skd=pF
vcp=peRa, skd=peRa
vcp=pela, skd=pela
vcp=peva, skd=peva
vcp=peza, skd=?
vcp=pesa, skd=pesa
vcp=pE, skd=pE
vcp=pyAya, skd=pyAya
vcp=pyuza, skd=pyuza
vcp=pyusa, skd=pyusa
vcp=pyE, skd=pyE
vcp=pracCa, skd=pracCa
vcp=praTa, skd=praTa
vcp=prasa, skd=prasa
vcp=prA, skd=prA
vcp=prI, skd=prI
vcp=pru, skd=pru
vcp=pruwa, skd=?
vcp=pruza, skd=pruza
vcp=preNKola, skd=preNKola
vcp=preza, skd=preza
vcp=proTa, skd=proTa
vcp=plakza, skd=plakza
vcp=pliha, skd=pliha
vcp=plI, skd=?
vcp=plu, skd=plu
vcp=pluza, skd=pluza
vcp=plusa, skd=plusa
vcp=pleva, skd=pleva
vcp=psA, skd=psA
vcp=Pakka, skd=Pakka
vcp=PaRa, skd=PaRa
vcp=Parba, skd=?
vcp=Pala, skd=Pala
vcp=Pulla, skd=Pulla
vcp=Pela, skd=Pela
vcp=?, skd=baka
vcp=baWa, skd=baWa
vcp=baRa, skd=baRa
vcp=bada, skd=bada
vcp=baDa, skd=baDa
vcp=bana, skd=bana
vcp=banDa, skd=banDa
vcp=baBra, skd=baBra
vcp=bamba, skd=bamba
vcp=barba, skd=barbba *
vcp=barha, skd=barha
vcp=bala, skd=bala
vcp=balha, skd=balha
vcp=baha, skd=?
vcp=bAqa, skd=bAqa
vcp=bADa, skd=bADa
vcp=bAha, skd=?
vcp=biwa, skd=?
vcp=bida, skd=bida
vcp=bila, skd=bila
vcp=bisa, skd=bisa
vcp=bukka, skd=bukka
vcp=buwa, skd=buwa
vcp=buqa, skd=buqa
vcp=buda, skd=buda
vcp=buDa, skd=buDa
vcp=bunDa, skd=bunDa
vcp=bula, skd=bula
vcp=busa, skd=busa
vcp=busta, skd=busta
vcp=bfha, skd=?
vcp=bF, skd=bF
vcp=beha, skd=?
vcp=byaDa, skd=byaDa
vcp=byuza, skd=byuza
vcp=braRa, skd=braRa
vcp=brU, skd=brU
vcp=Bakza, skd=Bakza
vcp=Baja, skd=Baja
vcp=Bawa, skd=Bawa
vcp=Baqa, skd=Baqa
vcp=BaRa, skd=BaRa
vcp=Bada, skd=Bada
vcp=Bana, skd=?
vcp=?, skd=Banja
vcp=Banda, skd=?
vcp=Bartsa, skd=Bartsa
vcp=BarBa, skd=BarBa
vcp=Barva, skd=Barvva *
vcp=Bala, skd=Bala
vcp=Balla, skd=Balla
vcp=Baza, skd=Baza
vcp=Basa, skd=Basa
vcp=BA, skd=BA
vcp=BAja, skd=BAja
vcp=BAma, skd=BAma
vcp=BAza, skd=BAza
vcp=BAsa, skd=BAsa
vcp=Bikza, skd=Bikza
vcp=Bida, skd=Bida
vcp=Bila, skd=?
vcp=Biza, skd=Biz *
vcp=Bizaj, skd=?
vcp=BI, skd=BI
vcp=Buja, skd=Buja
vcp=Buqa, skd=?
vcp=Buraja, skd=?
vcp=Burva, skd=?
vcp=BU, skd=BU
vcp=BUza, skd=BUza
vcp=Bf, skd=Bf
vcp=Bfja, skd=Bfja
vcp=BfRIya, skd=?
vcp=BfSa, skd=BfSa
vcp=BF, skd=BF
vcp=Beza, skd=Beza
vcp=?, skd=BnASa
vcp=?, skd=BnAsa
vcp=Byasa, skd=Byasa
vcp=Brakza, skd=?
vcp=BraRa, skd=BraRa
vcp=BranSa, skd=BranSa
vcp=Brama, skd=Brama
vcp=BraSa, skd=BraSa
vcp=Brasja, skd=Brasja
vcp=BrAja, skd=BrAja
vcp=BrASa, skd=BrASa
vcp=BrAsa, skd=BrAsa
vcp=BrI, skd=?
vcp=Bruqa, skd=?
vcp=BrURa, skd=BrURa
vcp=Breja, skd=Breja
vcp=Breza, skd=Breza
vcp=Blakza, skd=Blakza
vcp=BlASa, skd=?
vcp=maka, skd=maka
vcp=makka, skd=makka
vcp=makza, skd=makza
vcp=maKa, skd=maKa
vcp=maga, skd=maga
vcp=magaDya, skd=?
vcp=maGa, skd=maGa
vcp=maca, skd=maca
vcp=mawa, skd=mawa
vcp=maWa, skd=maWa
vcp=maqa, skd=maqa
vcp=maRa, skd=maRa
vcp=matra, skd=matra
vcp=maTa, skd=maTa
vcp=mada, skd=mada
vcp=mana, skd=mana
vcp=manja, skd=?
vcp=manTa, skd=manTa
vcp=maBra, skd=maBra
vcp=maya, skd=maya
vcp=marka, skd=marka
vcp=marca, skd=marcca *
vcp=marba, skd=marbba *
vcp=marva, skd=marvva *
vcp=mala, skd=mala
vcp=malla, skd=malla
vcp=mava, skd=mava
vcp=mavya, skd=mavya
vcp=maSa, skd=maSa
vcp=maza, skd=maza
vcp=masa, skd=masa
vcp=maska, skd=maska
vcp=masja, skd=masja
vcp=maha, skd=maha
vcp=mA, skd=mA
vcp=mAkza, skd=mAkza
vcp=mATa, skd=mATa
vcp=mAna, skd=mAna
vcp=mArga, skd=mArga
vcp=mArjja, skd=mArjja
vcp=mAha, skd=mAha
vcp=mi, skd=mi
vcp=micCa, skd=micCa
vcp=miTa, skd=miTa
vcp=mida, skd=mida
vcp=mila, skd=mila
vcp=miva, skd=miva
vcp=miSa, skd=miSa
vcp=miSra, skd=miSra
vcp=miza, skd=miza
vcp=?, skd=misra
vcp=miha, skd=miha
vcp=mI, skd=mI
vcp=mIma, skd=mIma
vcp=mIla, skd=mIla
vcp=mIva, skd=mIva
vcp=muca, skd=muca
vcp=muja, skd=muja
vcp=muwa, skd=muwa
vcp=muWa, skd=muWa
vcp=muqa, skd=muqa
vcp=muRa, skd=muRa
vcp=muda, skd=muda
vcp=?, skd=munca
vcp=munTa, skd=?
vcp=mura, skd=mura
vcp=murcCa, skd=murcCa
vcp=murva, skd=murvva *
vcp=mula, skd=mula
vcp=muza, skd=muza
vcp=?, skd=muz
vcp=musa, skd=musa
vcp=musta, skd=musta
vcp=muha, skd=muha
vcp=mU, skd=mU
vcp=mUtra, skd=mUtra
vcp=mUla, skd=mUla
vcp=mUza, skd=mUza
vcp=mf, skd=mf
vcp=mfkza, skd=?
vcp=mfga, skd=mfga
vcp=mfja, skd=mfja
vcp=mfqa, skd=mfqa
vcp=mfRa, skd=mfRa
vcp=mfda, skd=mfda
vcp=mfDa, skd=mfDa
vcp=mfSa, skd=mfSa
vcp=mfza, skd=mfza
vcp=mF, skd=mF
vcp=me, skd=me
vcp=mewa, skd=mew *
vcp=?, skd=meqa
vcp=meTa, skd=meTa
vcp=meda, skd=meda
vcp=meDa, skd=meDa
vcp=mepa, skd=mepa
vcp=meva, skd=meva
vcp=mokza, skd=mokza
vcp=mnA, skd=mnA
vcp=mrakza, skd=mrakza
vcp=mrada, skd=mrada
vcp=mruca, skd=mruca
vcp=mrunca, skd=mrunca
vcp=mrewa, skd=mrewa
vcp=?, skd=mreqa
vcp=mluca, skd=mluca
vcp=mlunca, skd=?
vcp=mlecCa, skd=mlecCa
vcp=mlewa, skd=mlewa
vcp=?, skd=mleqa
vcp=mleva, skd=mleva
vcp=mlE, skd=mlE
vcp=yakza, skd=yakza
vcp=yaja, skd=yaja
vcp=yata, skd=yat *
vcp=yatra, skd=yatra
vcp=yaBa, skd=yaBa
vcp=yama, skd=yama
vcp=yasa, skd=yasa
vcp=yA, skd=yA
vcp=yAca, skd=yAca
vcp=yu, skd=yu
vcp=yuga, skd=yuga
vcp=yucCa, skd=yucCa
vcp=yuja, skd=yuja
vcp=yuta, skd=yuta
vcp=yuDa, skd=yuDa
vcp=yupa, skd=yupa
vcp=yuza, skd=yuza
vcp=yUza, skd=yUza
vcp=yeza, skd=yeza
vcp=yOwa, skd=yOwa
vcp=yOqa, skd=yOqa
vcp=raMha, skd=?
vcp=raka, skd=raka
vcp=rakza, skd=rakza
vcp=raKa, skd=raKa
vcp=raga, skd=raga
vcp=raGa, skd=raGa
vcp=raca, skd=raca
vcp=rawa, skd=rawa
vcp=raWa, skd=raWa
vcp=raRa, skd=raRa
vcp=rada, skd=rada
vcp=raDa, skd=raDa
vcp=ranja, skd=ranja
vcp=rapa, skd=rapa
vcp=raPa, skd=raPa
vcp=raba, skd=raba
vcp=raBa, skd=raBa
vcp=rama, skd=rama
vcp=raya, skd=raya
vcp=rava, skd=rava
vcp=raSa, skd=raSa
vcp=rasa, skd=rasa
vcp=?, skd=raMha
vcp=raha, skd=raha
vcp=rA, skd=rA
vcp=rAKa, skd=rAKa
vcp=rAGa, skd=rAGa
vcp=rAja, skd=rAja
vcp=rADa, skd=rADa
vcp=rASa, skd=rASa
vcp=rAsa, skd=rAsa
vcp=ri, skd=ri
vcp=riKa, skd=riKa
vcp=riga, skd=riga
vcp=rica, skd=rica
vcp=rija, skd=rija
vcp=rinPa, skd=rinPa
vcp=riPa, skd=riPa
vcp=riba, skd=riba
vcp=riBa, skd=riBa
vcp=riva, skd=riva
vcp=riSa, skd=riSa
vcp=riza, skd=riza
vcp=riha, skd=riha
vcp=rI, skd=rI
vcp=rIva, skd=rIva
vcp=ru, skd=ru
vcp=ruca, skd=ruca
vcp=ruja, skd=ruja
vcp=ruwa, skd=ruwa
vcp=ruWa, skd=ruWa
vcp=ruda, skd=ruda
vcp=ruDa, skd=ruDa
vcp=rupa, skd=rupa
vcp=ruSa, skd=ruSa
vcp=ruza, skd=ruza
vcp=ruha, skd=ruha
vcp=rUkza, skd=rUkza
vcp=rUpa, skd=rUpa
vcp=rUza, skd=rUza
vcp=reka, skd=reka
vcp=reja, skd=reja
vcp=rewa, skd=rewa
vcp=repa, skd=repa
vcp=reba, skd=?
vcp=reBa, skd=reBa
vcp=?, skd=reva
vcp=reza, skd=reza
vcp=rE, skd=rE
vcp=roqa, skd=roqa
vcp=rOwa, skd=rOwa
vcp=?, skd=rOqa
vcp=laka, skd=laka
vcp=lakza, skd=lakza
vcp=laKa, skd=laKa
vcp=laga, skd=laga
vcp=laGa, skd=laGa
vcp=laCa, skd=laCa
vcp=laja, skd=laja
vcp=laYja, skd=laYja
vcp=lawa, skd=lawa
vcp=laqa, skd=laqa
vcp=lata, skd=lata
vcp=lapa, skd=lapa
vcp=laba, skd=laba
vcp=laBa, skd=laBa
vcp=laya, skd=laya
vcp=larva, skd=?
vcp=lala, skd=lala
vcp=laSa, skd=laSa
vcp=laza, skd=laza
vcp=lasa, skd=lasa
vcp=lasja, skd=lasja
vcp=lA, skd=lA
vcp=lAKa, skd=lAKa
vcp=lAGa, skd=lAGa
vcp=lACa, skd=lACa
vcp=lAja, skd=lAja
vcp=lAqa, skd=lAqa
vcp=liKa, skd=liKa
vcp=liga, skd=liga
vcp=lipa, skd=lipa
vcp=liSa, skd=liSa
vcp=liha, skd=liha
vcp=lI, skd=lI
vcp=luja, skd=luja
vcp=?, skd=luYca
vcp=luwa, skd=luwa
vcp=luWa, skd=luWa
vcp=luqa, skd=luqa
vcp=luRwa, skd=luRwa
vcp=luRqa, skd=luRqa
vcp=luTa, skd=luTa
vcp=lunca, skd=?
vcp=lupa, skd=lupa
vcp=luba, skd=luba
vcp=luBa, skd=luBa
vcp=lula, skd=lula
vcp=luza, skd=luza
vcp=luha, skd=luha
vcp=lU, skd=lU
vcp=lUza, skd=lUza
vcp=lepa, skd=lepa
vcp=loka, skd=loka
vcp=loca, skd=loca
vcp=lowa, skd=lowa
vcp=?, skd=loqa
vcp=lozwa, skd=lozwa
vcp=lOqa, skd=lOqa
vcp=lpI, skd=lpI
vcp=lvI, skd=lvI
vcp=vaka, skd=vaka
vcp=vakka, skd=vakka
vcp=vakza, skd=vakza
vcp=vaKa, skd=vaKa
vcp=vaga, skd=vaga
vcp=vaGa, skd=vaGa
vcp=vaca, skd=vaca
vcp=vaja, skd=vaja
vcp=vawa, skd=vawa
vcp=vaWa, skd=vaWa
vcp=vaqa, skd=vaqa
vcp=vaRa, skd=vaRa
vcp=vaRwa, skd=vaRwa
vcp=vada, skd=vada
vcp=vana, skd=vana
vcp=vanca, skd=?
vcp=vapa, skd=vapa
vcp=vaBra, skd=vaBra
vcp=vama, skd=vama
vcp=vaya, skd=vaya
vcp=vara, skd=vara
vcp=varca, skd=varcca *
vcp=varRRa, skd=varRa *
vcp=vardDa, skd=vardDa
vcp=varPa, skd=varPa
vcp=varha, skd=varha
vcp=vala, skd=vala
vcp=valka, skd=valka
vcp=valga, skd=valga
vcp=valBa, skd=valBa
vcp=valyula, skd=valyula
vcp=?, skd=valyUla
vcp=valla, skd=valla
vcp=valha, skd=valha
vcp=vaSa, skd=vaSa
vcp=vaza, skd=vaza
vcp=vazka, skd=vazka
vcp=vasa, skd=vasa
vcp=?, skd=vaska
vcp=vasta, skd=vasta
vcp=vaha, skd=vaha
vcp=vA, skd=vA
vcp=vAkza, skd=vAkza
vcp=vACa, skd=vACa
vcp=vAqa, skd=vAqa
vcp=vAta, skd=vAta
vcp=vADa, skd=vADa
vcp=vAvfta, skd=vAvfta
vcp=vASa, skd=vASa
vcp=vAsa, skd=vAsa
vcp=vAha, skd=vAha
vcp=vica, skd=vica
vcp=vicCa, skd=vicCa
vcp=vija, skd=vija
vcp=viwa, skd=viwa
vcp=viqa, skd=viqa
vcp=vitta, skd=vitta
vcp=viTa, skd=viTa
vcp=vida, skd=vida
vcp=viDa, skd=viDa
vcp=vipa, skd=vipa
vcp=vila, skd=vila
vcp=viSa, skd=viSa
vcp=viza, skd=viza
vcp=vizka, skd=?
vcp=visa, skd=?
vcp=vI, skd=vI
vcp=vIja, skd=?
vcp=vIba, skd=?
vcp=vIBa, skd=?
vcp=?, skd=vIra
vcp=vuga, skd=vuga
vcp=vuwa, skd=vuwa
vcp=vf, skd=vf
vcp=vfka, skd=vfka
vcp=vfkza, skd=vfkza
vcp=vfca, skd=vfca
vcp=vfja, skd=vfja
vcp=vfRa, skd=vfRa
vcp=vfta, skd=vfta
vcp=vfDa, skd=vfDa
vcp=vfSa, skd=vfSa
vcp=vfza, skd=vfza
vcp=vfha, skd=vfha
vcp=vF, skd=vF
vcp=ve, skd=ve
vcp=veRa, skd=veRa
vcp=veTa, skd=veTa
vcp=vepa, skd=vepa
vcp=vela, skd=vela
vcp=vella, skd=vella
vcp=vevI, skd=vevI
vcp=vezwa, skd=vezwa
vcp=vesa, skd=vesa
vcp=veha, skd=veha
vcp=vehla, skd=vehla
vcp=vE, skd=vE
vcp=vyaca, skd=vyaca
vcp=vyaTa, skd=vyaTa
vcp=vyaDa, skd=vyaDa
vcp=vyapa, skd=vyapa
vcp=vyaya, skd=vyaya
vcp=vye, skd=vye
vcp=vraja, skd=vraja
vcp=vraRa, skd=vraRa
vcp=vraSca, skd=vraSca
vcp=vrI, skd=vrI
vcp=vrIqa, skd=vrIqa
vcp=vrIsa, skd=vrIsa
vcp=vruqa, skd=vruqa
vcp=vrUsa, skd=vrUsa
vcp=vlI, skd=vlI
vcp=?, skd=SaMsa
vcp=Saka, skd=Saka
vcp=Saca, skd=Saca
vcp=Sawa, skd=Sawa
vcp=SaWa, skd=SaWa
vcp=Saqa, skd=Saqa
vcp=SaRa, skd=SaRa
vcp=Sada, skd=Sada
vcp=Sansa, skd=?
vcp=Sapa, skd=Sapa
vcp=Sabda, skd=Sabda
vcp=Sama, skd=Sama
vcp=Samba, skd=Samba
vcp=Sarba, skd=?
vcp=Sarva, skd=Sarvva *
vcp=Sala, skd=Sala
vcp=SalBa, skd=SalBa
vcp=Salla, skd=Salla
vcp=Sava, skd=Sava
vcp=SaSa, skd=SaSa
vcp=Saza, skd=Saza
vcp=Sasa, skd=Sasa
vcp=?, skd=Sasta
vcp=SAKa, skd=SAKa
vcp=SAqa, skd=SAqa
vcp=SAna, skd=SAna
vcp=SAra, skd=SAra
vcp=SAla, skd=SAla
vcp=SAsa, skd=SAsa
vcp=Si, skd=Si
vcp=Sikza, skd=Sikza
vcp=SiKa, skd=?
vcp=SiGa, skd=SiGa
vcp=Sija, skd=Sija
vcp=Siwa, skd=Siwa
vcp=Sila, skd=Sila
vcp=Siza, skd=Siza
vcp=SI, skd=SI
vcp=SIka, skd=SIka
vcp=SIBa, skd=SIBa
vcp=SIla, skd=SIla
vcp=Suka, skd=Suka
vcp=Suca, skd=Suca
vcp=Sucya, skd=Sucya
vcp=?, skd=Suwa
vcp=SuWa, skd=SuWa
vcp=SuDa, skd=SuDa
vcp=Suna, skd=Suna
vcp=SunDa, skd=SunDa
vcp=SunBa, skd=SunBa
vcp=SuBa, skd=SuBa
vcp=Sura, skd=?
vcp=Sulka, skd=Sulka
vcp=Sulva, skd=Sulva
vcp=Suza, skd=Suza
vcp=SUra, skd=SUra
vcp=SUrpa, skd=SUrpa
vcp=SUla, skd=SUla
vcp=?, skd=SUya
vcp=SUza, skd=?
vcp=SfDa, skd=SfDa
vcp=SF, skd=SF
vcp=Sela, skd=?
vcp=So, skd=So
vcp=SoRa, skd=SoRa
vcp=SOwa, skd=SOwa
vcp=SOqa, skd=SOqa
vcp=Scuta, skd=Scuta
vcp=Scyuta, skd=Scyuta
vcp=SmIla, skd=SmIla
vcp=SyE, skd=SyE
vcp=Sraka, skd=Sraka
vcp=Sraga, skd=Sraga
vcp=SraRa, skd=SraRa
vcp=SraTa, skd=SraTa
vcp=SranTa, skd=SranTa
vcp=Srama, skd=Srama
vcp=SramBa, skd=?
vcp=SrA, skd=SrA
vcp=SrAma, skd=SrAma
vcp=Sri, skd=Sri
vcp=Sriya, skd=?
vcp=?, skd=Sriza
vcp=SrI, skd=SrI
vcp=Sru, skd=Sru
vcp=SrE, skd=SrE
vcp=SroRa, skd=SroRa
vcp=Slaka, skd=Slaka
vcp=Slaga, skd=Slaga
vcp=SlaTa, skd=SlaTa
vcp=SlAKa, skd=SlAKa
vcp=SlAGa, skd=SlAGa
vcp=Sliza, skd=Sliza
vcp=Sloka, skd=Sloka
vcp=SloRa, skd=SloRa
vcp=Svaka, skd=Svaka
vcp=Svaca, skd=Svaca
vcp=SvaWa, skd=SvaWa
vcp=SvaBra, skd=SvaBra
vcp=Svala, skd=Svala
vcp=Svalka, skd=Svalka
vcp=Svalla, skd=Svalla
vcp=Svasa, skd=Svasa
vcp=Svi, skd=Svi
vcp=Svita, skd=Svita
vcp=Svida, skd=Svida
vcp=zaga, skd=zaga
vcp=zaGa, skd=zaGa
vcp=zaca, skd=zaca
vcp=zawa, skd=zawa
vcp=zawwa, skd=zawwa
vcp=zaRa, skd=?
vcp=zada, skd=zada
vcp=?, skd=zana
vcp=zanca, skd=zanca
vcp=zanja, skd=zanja
vcp=zapa, skd=zapa
vcp=zama, skd=zama
vcp=zamba, skd=zamba
vcp=zarjja, skd=zarjja
vcp=zarba, skd=zarvva *
vcp=zala, skd=zala
vcp=zasa, skd=zasa
vcp=zasja, skd=zasja
vcp=zasta, skd=zasta
vcp=zaha, skd=zaha
vcp=zADa, skd=zADa
vcp=zAntva, skd=zAntva
vcp=zi, skd=zi
vcp=zica, skd=zica
vcp=ziwa, skd=?
vcp=ziDa, skd=ziDa
vcp=zimBa, skd=zinBa *
vcp=zima, skd=?
vcp=zila, skd=zila
vcp=ziva, skd=ziva
vcp=zu, skd=zu
vcp=zuwwa, skd=zuwwa
vcp=zunBa, skd=zunBa
vcp=zura, skd=zura
vcp=zuha, skd=zuha
vcp=zU, skd=zU
vcp=zUda, skd=zUda
vcp=zUra, skd=zUra
vcp=zUrkza, skd=zUrkza
vcp=zUrkzya, skd=zUrkzya
vcp=zUza, skd=zUza
vcp=zfnBa, skd=?
vcp=zfBa, skd=?
vcp=zeka, skd=zeka
vcp=zela, skd=zela
vcp=zeva, skd=zeva
vcp=zE, skd=zE
vcp=zo, skd=zo
vcp=zwaka, skd=zwaka
vcp=zwaga, skd=zwaga
vcp=zwana, skd=zwana
vcp=zwaBa, skd=zwaBa
vcp=zwama, skd=zwama
vcp=zwiGa, skd=zwiGa
vcp=zwipa, skd=zwipa
vcp=zwima, skd=zwima
vcp=zwIma, skd=zwIma
vcp=zwu, skd=zwu
vcp=zwuca, skd=zwuca
vcp=zwuBa, skd=zwuBa
vcp=zwUpa, skd=zwUpa
vcp=zwfkza, skd=zwfkza
vcp=zwfha, skd=zwfha
vcp=zwFha, skd=zwFha
vcp=zwepa, skd=zwepa
vcp=zwE, skd=?
vcp=zwyE, skd=zwyE
vcp=zWaga, skd=zWaga
vcp=zWala, skd=zWala
vcp=zWasa, skd=?
vcp=zWA, skd=zWA
vcp=zWiva, skd=zWiva
vcp=zWIva, skd=zWIva
vcp=zRasa, skd=zRasa
vcp=zRA, skd=zRA
vcp=zRiha, skd=zRiha
vcp=zRu, skd=zRu
vcp=zRuca, skd=zRuca
vcp=zRusa, skd=zRusa
vcp=zRuha, skd=zRuha
vcp=zRE, skd=zRE
vcp=zmi, skd=zmi
vcp=zvakka, skd=zvakka
vcp=zvada, skd=zvada
vcp=zvanja, skd=zvanja
vcp=zvapa, skd=zvapa
vcp=zvartta, skd=zvartta
vcp=zvazka, skd=?
vcp=zvida, skd=zvida
vcp=?, skd=saga
vcp=?, skd=saGa
vcp=saNgrAma, skd=saNgrAma
vcp=saWa, skd=saWa
vcp=satra, skd=satra
vcp=?, skd=sapa
vcp=sapara, skd=?
vcp=saBAja, skd=saBAja
vcp=samba, skd=samba
vcp=sarja, skd=sarjja *
vcp=sarba, skd=sarvva *
vcp=sAwa, skd=sAwa
vcp=sAta, skd=sAta
vcp=?, skd=sADa
vcp=sAntva, skd=sAntva
vcp=sAma, skd=sAma
vcp=sAmba, skd=sAmba
vcp=sAra, skd=sAra
vcp=sika, skd=sika
vcp=sIka, skd=sIka
vcp=?, skd=su
vcp=suKa, skd=suKa
vcp=suwwa, skd=suwwa
vcp=suda, skd=suda
vcp=?, skd=sunBa
vcp=?, skd=sura
vcp=sUca, skd=sUca
vcp=sUtra, skd=sUtra
vcp=sUrkza, skd=sUrkza
vcp=?, skd=sUrkzya
vcp=?, skd=sUza
vcp=sf, skd=sf
vcp=sfja, skd=sfja
vcp=sfpa, skd=sfpa
vcp=?, skd=sfPa
vcp=sF, skd=sF
vcp=seka, skd=seka
vcp=?, skd=sela
vcp=?, skd=seva
vcp=?, skd=sE
vcp=skanda, skd=skanda
vcp=skanBa, skd=?
vcp=skaBa, skd=skaBa
vcp=sku, skd=?
vcp=skuda, skd=skuda
vcp=skunBa, skd=skunBa
vcp=sKada, skd=sKada
vcp=sKala, skd=sKala
vcp=?, skd=staka
vcp=stana, skd=stana
vcp=stanBa, skd=staBa *
vcp=?, skd=stamBa
vcp=stunBa, skd=stunBa
vcp=stUpa, skd=stUpa
vcp=stf, skd=stf
vcp=?, skd=stfkza
vcp=?, skd=stfha
vcp=stF, skd=stF
vcp=?, skd=stFha
vcp=stena, skd=stena
vcp=stepa, skd=?
vcp=stoma, skd=stoma
vcp=styE, skd=styE
vcp=sTaga, skd=sTaga
vcp=sTala, skd=sTala
vcp=sTuqa, skd=sTuqa
vcp=sTUla, skd=sTUla
vcp=sniwa, skd=sniwa
vcp=spada, skd=spada
vcp=spardDa, skd=spardDa
vcp=sparSa, skd=sparSa
vcp=spaSa, skd=spaSa
vcp=spf, skd=spf
vcp=spfSa, skd=spfSa
vcp=spfha, skd=spfha
vcp=sPawa, skd=sPawa
vcp=sPaqa, skd=sPaqa
vcp=sPara, skd=sPara
vcp=sPala, skd=sPala
vcp=sPAya, skd=sPAya
vcp=sPiwa, skd=sPiwa
vcp=sPuwa, skd=sPuwa
vcp=sPuwwa, skd=sPuwwa
vcp=sPuqa, skd=sPuqa
vcp=sPura, skd=sPura
vcp=sPurcCa, skd=sPurcCa
vcp=sPurja, skd=sPurja
vcp=sPula, skd=sPula
vcp=smi, skd=smi
vcp=smiwa, skd=smiwa
vcp=smIla, skd=smIla
vcp=smf, skd=smf
vcp=syanda, skd=syanda
vcp=syama, skd=syama
vcp=sraka, skd=sraka
vcp=?, skd=sranBa
vcp=sransa, skd=sransa
vcp=sramBa, skd=?
vcp=srimBa, skd=srinBa *
vcp=sriBa, skd=sriBa
vcp=sriva, skd=sriva
vcp=sru, skd=sru
vcp=srE, skd=srE
vcp=svaga, skd=svaga
vcp=svaWa, skd=svaWa
vcp=svana, skd=svana
vcp=svara, skd=svara
vcp=svartta, skd=svartta
vcp=svardda, skd=svarda *
vcp=svaska, skd=svaska
vcp=svAda, skd=svAda
vcp=svurcCa, skd=svUrcCa *
vcp=svf, skd=svf
vcp=svF, skd=svF
vcp=sveka, skd=sveka
vcp=hawa, skd=hawa
vcp=haWa, skd=haWa
vcp=hada, skd=hada
vcp=hana, skd=hana
vcp=hamma, skd=hamma
vcp=haya, skd=haya
vcp=haryya, skd=harya *
vcp=hala, skd=hala
vcp=halla, skd=?
vcp=hasa, skd=hasa
vcp=hA, skd=hA
vcp=hi, skd=hi
vcp=hikka, skd=hikka
vcp=hiqa, skd=?
vcp=?, skd=hiqaM
vcp=hila, skd=hila
vcp=hillola, skd=hillola
vcp=hiva, skd=hiva
vcp=hisa, skd=hisa
vcp=hu, skd=hu
vcp=huqa, skd=huqa
vcp=hurcCa, skd=hurcCa
vcp=hula, skd=hula
vcp=hUqa, skd=hUqa
vcp=hf, skd=hf
vcp=hfRI, skd=?
vcp=hfza, skd=hfza
vcp=heWa, skd=heWa
vcp=heqa, skd=heqa
vcp=heza, skd=heza
vcp=hoqa, skd=hoqa
vcp=hOqa, skd=hOqa
vcp=hnu, skd=hnu
vcp=hmala, skd=hmala
vcp=hraga, skd=hraga
vcp=hrapa, skd=hrapa
vcp=hrasa, skd=hrasa
vcp=hrAda, skd=hrAda
vcp=hriRI, skd=?
vcp=hrI, skd=hrI
vcp=hrIcCa, skd=hrIcCa
vcp=hruqa, skd=hruqa
vcp=hrUqa, skd=hrUqa
vcp=hrepa, skd=hrepa
vcp=hreza, skd=hreza
vcp=hrOqa, skd=hrOqa
vcp=hlaga, skd=hlaga
vcp=hlapa, skd=hlapa
vcp=hlasa, skd=hlasa
vcp=hlAda, skd=hlAda
vcp=hvala, skd=hvala
vcp=hvf, skd=hvf
vcp=hve, skd=hve
